player,pos,team,adp_pos_rank,underdog_adp,prev_adp,adp_delta,source_url
Jalen Coker,WR,Carolina Panthers,WR54,126.9,119,-7.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Khalil Shakir,WR,Buffalo Bills,WR55,127.2,127.8,0.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Travis Kelce,TE,Kansas City Chiefs,TE12,127.6,129.9,2.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Malik Willis,QB,Miami Dolphins,QB21,128.4,122.7,-5.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jonathon Brooks,RB,Carolina Panthers,RB42,129,145.1,16.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Dalton Kincaid,TE,Buffalo Bills,TE13,132.5,126.6,-5.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Omar Cooper,WR,New York Jets,WR56,134.3,135.6,1.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Sam Darnold,QB,Seattle Seahawks,QB22,134.4,128.4,-6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Dallas Goedert,TE,Philadelphia Eagles,TE14,135.4,137.1,1.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Isaiah Likely,TE,New York Giants,TE15,136.7,141,4.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Mark Andrews,TE,Baltimore Ravens,TE16,137.2,146.6,9.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Zach Charbonnet,RB,Seattle Seahawks,RB43,137.2,148.8,11.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jalen McMillan,WR,Tampa Bay Buccaneers,WR57,138.2,132.3,-5.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
C.J. Stroud,QB,Houston Texans,QB23,139.3,133.9,-5.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tyrone Tracy,RB,New York Giants,RB44,139.6,151.6,12,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Rashid Shaheed,WR,Seattle Seahawks,WR58,140,143.2,3.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Cam Ward,QB,Tennessee Titans,QB24,141.1,139.9,-1.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Kenyon Sadiq,TE,New York Jets,TE17,143.7,134.7,-9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Daniel Jones,QB,Indianapolis Colts,QB25,143.9,141.5,-2.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Woody Marks,RB,Houston Texans,RB45,144.1,164.6,20.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jonah Coleman,RB,Denver Broncos,RB46,146.9,133,-13.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tyler Allgeier,RB,Arizona Cardinals,RB47,147.5,87.5,-60,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jauan Jennings,WR,Free Agent,WR59,149.4,144.8,-4.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Keaton Mitchell,RB,Los Angeles Chargers,RB48,149.5,153.4,3.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Denzel Boston,WR,Cleveland Browns,WR60,149.5,140.8,-8.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Bryce Young,QB,Carolina Panthers,QB26,150.6,146.1,-4.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Brenton Strange,TE,Jacksonville Jaguars,TE18,151.9,151.6,-0.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Juwan Johnson,TE,New Orleans Saints,TE19,154.1,156.6,2.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Hunter Henry,TE,New England Patriots,TE20,155.6,159.1,3.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Brandon Aiyuk,WR,San Francisco 49ers,WR61,155.7,156.2,0.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Stefon Diggs,WR,Free Agent,WR62,156.4,153.7,-2.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Chig Okonkwo,TE,Washington Commanders,TE21,156.9,161,4.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tyjae Spears,RB,Tennessee Titans,RB49,159.4,181.5,22.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Travis Hunter,WR,Jacksonville Jaguars,WR63,159.7,151.7,-8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jalen Nailor,WR,Las Vegas Raiders,WR64,160,169.7,9.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Isiah Pacheco,RB,Detroit Lions,RB50,160.7,169,8.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
T.J. Hockenson,TE,Minnesota Vikings,TE22,163.6,171.7,8.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Mike Washington,RB,Las Vegas Raiders,RB51,164.8,136.9,-27.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Fernando Mendoza,QB,Las Vegas Raiders,QB27,166,157.6,-8.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Isaac TeSlaa,WR,Detroit Lions,WR65,166.6,172.4,5.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jacoby Brissett,QB,Arizona Cardinals,QB28,166.8,154.9,-11.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Brian Robinson,RB,Atlanta Falcons,RB52,167.2,175.9,8.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jerry Jeudy,WR,Cleveland Browns,WR66,170.4,159.7,-10.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Deebo Samuel,WR,Free Agent,WR67,171,166,-5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Dylan Sampson,RB,Cleveland Browns,RB53,171.6,174.4,2.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
AJ Barner,TE,Seattle Seahawks,TE23,171.9,177,5.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Geno Smith,QB,New York Jets,QB29,172.3,167.5,-4.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Dalton Schultz,TE,Houston Texans,TE24,173.9,177.9,4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tre Tucker,WR,Las Vegas Raiders,WR68,174.1,192,17.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Braelon Allen,RB,New York Jets,RB54,174.7,198.9,24.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Calvin Ridley,WR,Tennessee Titans,WR69,175,172.7,-2.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tre' Harris,WR,Los Angeles Chargers,WR70,177.3,181.6,4.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Nicholas Singleton,RB,Tennessee Titans,RB55,179.2,189.5,10.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Emmett Johnson,RB,Kansas City Chiefs,RB56,179.5,167.6,-11.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tank Bigsby,RB,Philadelphia Eagles,RB57,180,185,5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tyreek Hill,WR,Free Agent,WR71,182.1,179.1,-3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Eli Stowers,TE,Philadelphia Eagles,TE25,182.5,181.7,-0.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Gunnar Helm,TE,Tennessee Titans,TE26,184.4,199.1,14.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
De'Zhaun Stribling,WR,San Francisco 49ers,WR72,185,240,55,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Germie Bernard,WR,Pittsburgh Steelers,WR73,185.3,203.2,17.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Antonio Williams,WR,Washington Commanders,WR74,188.5,233.3,44.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Cade Otton,TE,Tampa Bay Buccaneers,TE27,189,197.9,8.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Dontayvion Wicks,WR,Philadelphia Eagles,WR75,189.3,230.3,41,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Kayshon Boutte,WR,New England Patriots,WR76,189.5,174.8,-14.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Malik Washington,WR,Miami Dolphins,WR77,192.3,187.6,-4.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Emanuel Wilson,RB,Seattle Seahawks,RB58,192.6,163.2,-29.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Adonai Mitchell,WR,New York Jets,WR78,193.5,171.7,-21.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Kaytron Allen,RB,Washington Commanders,RB59,193.8,209,15.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tank Dell,WR,Houston Texans,WR79,195,185.5,-9.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Alvin Kamara,RB,New Orleans Saints,RB60,197.1,194.3,-2.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Pat Freiermuth,TE,Pittsburgh Steelers,TE28,197.6,207.5,9.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Aaron Rodgers,QB,Free Agent,QB30,198.2,199.1,0.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Christian Kirk,WR,San Francisco 49ers,WR80,199.4,183.3,-16.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Ryan Flournoy,WR,Dallas Cowboys,WR81,199.5,204.6,5.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
David Njoku,TE,Free Agent,TE29,201.5,197.9,-3.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Chris Bell,WR,Miami Dolphins,WR82,201.6,227.2,25.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Darnell Mooney,WR,New York Giants,WR83,201.9,187,-14.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Sean Tucker,RB,Tampa Bay Buccaneers,RB61,202.5,187.9,-14.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Ray Davis,RB,Buffalo Bills,RB62,204.1,211.3,7.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Elijah Sarratt,WR,Baltimore Ravens,WR84,207.2,208.7,1.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tua Tagovailoa,QB,Atlanta Falcons,QB31,207.5,195.8,-11.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Zachariah Branch,WR,Atlanta Falcons,WR85,208,215.8,7.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Chris Brazzell,WR,Carolina Panthers,WR86,208,199.6,-8.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Terrance Ferguson,TE,Los Angeles Rams,TE30,208.3,206.6,-1.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Kimani Vidal,RB,Los Angeles Chargers,RB63,210,205.6,-4.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Cooper Kupp,WR,Seattle Seahawks,WR87,210.4,234.2,23.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Mike Gesicki,TE,Cincinnati Bengals,TE31,210.9,229.5,18.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
James Conner,RB,Arizona Cardinals,RB64,210.9,160.7,-50.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tory Horton,WR,Seattle Seahawks,WR88,211,212.6,1.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Ted Hurst,WR,Tampa Bay Buccaneers,WR89,211.1,227.3,16.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Troy Franklin,WR,Denver Broncos,WR90,211.4,216.9,5.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Demond Claiborne,RB,Minnesota Vikings,RB65,211.8,235.9,24.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Skyler Bell,WR,Buffalo Bills,WR91,211.9,240,28.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Shedeur Sanders,QB,Cleveland Browns,QB32,212,228.4,16.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jordan James,RB,San Francisco 49ers,RB66,212.1,200,-12.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Deshaun Watson,QB,Cleveland Browns,QB33,212.2,235.8,23.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Greg Dulcich,TE,Miami Dolphins,TE32,212.7,234.5,21.8,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Pat Bryant,WR,Denver Broncos,WR92,213.1,209.4,-3.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Kaelon Black,RB,San Francisco 49ers,RB67,213.4,240,26.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jake Tonges,TE,San Francisco 49ers,TE33,213.6,222.1,8.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Ja'Kobi Lane,WR,Baltimore Ravens,WR93,213.7,237.6,23.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Malachi Fields,WR,New York Giants,WR94,213.8,240,26.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Michael Penix,QB,Atlanta Falcons,QB34,213.8,216.9,3.1,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Keon Coleman,WR,Buffalo Bills,WR95,214.4,236.1,21.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jaydon Blue,RB,Dallas Cowboys,RB68,214.5,233.8,19.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Brenen Thompson,WR,Los Angeles Chargers,WR96,214.6,240,25.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Mason Taylor,TE,New York Jets,TE34,214.6,188.4,-26.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Colby Parkinson,TE,Los Angeles Rams,TE35,214.6,225.2,10.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Justice Hill,RB,Baltimore Ravens,RB69,214.7,228.1,13.4,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jack Bech,WR,Las Vegas Raiders,WR97,214.8,240,25.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Kirk Cousins,QB,Las Vegas Raiders,QB35,214.8,219.1,4.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Adam Randall,RB,Baltimore Ravens,RB70,215.1,240,24.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Jaylin Noel,WR,Houston Texans,WR98,215.1,233.8,18.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Rashod Bateman,WR,Baltimore Ravens,WR99,215.2,230.5,15.3,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Chimere Dike,WR,Tennessee Titans,WR100,215.3,192.4,-22.9,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Theo Johnson,TE,New York Giants,TE36,215.3,233.8,18.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Justin Joly,TE,Denver Broncos,TE37,215.3,240,24.7,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Evan Engram,TE,Denver Broncos,TE38,215.4,236.6,21.2,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Carson Beck,QB,Arizona Cardinals,QB36,215.4,240,24.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Chris Brooks,RB,Green Bay Packers,RB71,215.4,240,24.6,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Max Klare,TE,Los Angeles Rams,TE39,215.5,240,24.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Caleb Douglas,WR,Miami Dolphins,WR101,215.5,240,24.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Tyquan Thornton,WR,Kansas City Chiefs,WR102,215.5,240,24.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Devaughn Vele,WR,New Orleans Saints,WR103,215.5,220.5,5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
Malik Davis,RB,Dallas Cowboys,RB72,215.5,240,24.5,https://www.sharpfootballanalysis.com/fantasy/fantasy-football-adp-half-ppr-underdog-best-ball/
