pos,tier,pos_rank,player,team,raw_adp,risk,upside,draft_tag,tag_reason,threshold_note,player_note,source
QB,T1 Elite QB Edge,1,Josh Allen,Buffalo Bills,30.4,2,5,MY_GUY,QB edge,OK near ADP,Rushing and TD equity keep him top QB even in 4-point passing TD.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T1 Elite QB Edge,2,Lamar Jackson,Baltimore Ravens,53.2,3,5,MY_GUY,QB edge,OK near ADP,Elite weekly ceiling; still best when you want to win QB points outright.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T1 Elite QB Edge,3,Joe Burrow,Cincinnati Bengals,62.9,3,5,NEUTRAL,6pt boost,,Gets a meaningful bump in 6-point passing TD leagues.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T1 Elite QB Edge,4,Jayden Daniels,Washington Commanders,64.4,3,5,MY_GUY,QB edge,OK near ADP,Rushing floor plus year-to-year pass growth upside.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T1 Elite QB Edge,5,Jalen Hurts,Philadelphia Eagles,68.9,3,5,MY_GUY,QB edge,OK near ADP,Goal-line rushing keeps him in elite QB tier despite passing-volume variance.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T2 Upside QB1,6,Caleb Williams,Chicago Bears,70.6,3,4,MY_GUY,Target,OK near ADP,Late QB1 tier; pair format/rushing/6pt passing TD fit.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T2 Upside QB1,7,Drake Maye,New England Patriots,70.9,3,4,MY_GUY,Target,OK near ADP,Late QB1 tier; pair format/rushing/6pt passing TD fit.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T2 Upside QB1,8,Dak Prescott,Dallas Cowboys,79,3,4,MY_GUY,Target,OK near ADP,Late QB1 tier; pair format/rushing/6pt passing TD fit.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T2 Upside QB1,9,Trevor Lawrence,Jacksonville Jaguars,83.9,3,4,MY_GUY,Target,OK near ADP,Late QB1 tier; pair format/rushing/6pt passing TD fit.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T2 Upside QB1,10,Justin Herbert,Los Angeles Chargers,87.1,3,4,NEUTRAL,6pt boost,,Better in 6-point passing TD scoring; less rushing insulation than top dual-threat QBs.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T3 Late QB1 Plateau,11,Jaxson Dart,New York Giants,88.4,4,4,WATCH,Rookie,Monitor news,Rookie/young QB: more matchup or 2QB value than 1QB priority.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T3 Late QB1 Plateau,12,Patrick Mahomes,Kansas City Chiefs,93.8,3,3,NEUTRAL,6pt boost,,"6-point passing TD format helps, but regular-season fantasy ceiling has trailed reputation.","Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T3 Late QB1 Plateau,13,Bo Nix,Denver Broncos,97.9,3,3,NEUTRAL,Fair,,Late QB1 tier; pair format/rushing/6pt passing TD fit.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T3 Late QB1 Plateau,14,Brock Purdy,San Francisco 49ers,98,3,3,NEUTRAL,Fair,,Late QB1 tier; pair format/rushing/6pt passing TD fit.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T3 Late QB1 Plateau,15,Matthew Stafford,Los Angeles Rams,103.2,3,3,NEUTRAL,Fair,,Late QB1 tier; pair format/rushing/6pt passing TD fit.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T3 Late QB1 Plateau,16,Jared Goff,Detroit Lions,104.2,3,3,NEUTRAL,Fair,,Late QB1 tier; pair format/rushing/6pt passing TD fit.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T3 Late QB1 Plateau,17,Kyler Murray,Minnesota Vikings,105.8,3,3,NEUTRAL,Fair,,Late QB1 tier; pair format/rushing/6pt passing TD fit.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T3 Late QB1 Plateau,18,Jordan Love,Green Bay Packers,107,3,3,NEUTRAL,Fair,,Late QB1 tier; pair format/rushing/6pt passing TD fit.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T4 Stream/Pair,19,Baker Mayfield,Tampa Bay Buccaneers,114.2,3,2,NEUTRAL,Streamer,,Streamer/bench option; not a priority in shallow 1QB.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T4 Stream/Pair,20,Tyler Shough,New Orleans Saints,114.8,4,3,WATCH,Rookie,Monitor news,Rookie/young QB: more matchup or 2QB value than 1QB priority.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T4 Stream/Pair,21,Malik Willis,Miami Dolphins,128.4,3,2,NEUTRAL,Streamer,,Streamer/bench option; not a priority in shallow 1QB.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T4 Stream/Pair,22,Sam Darnold,Seattle Seahawks,134.4,3,2,NEUTRAL,Streamer,,Streamer/bench option; not a priority in shallow 1QB.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T4 Stream/Pair,23,C.J. Stroud,Houston Texans,139.3,3,2,NEUTRAL,Streamer,,Streamer/bench option; not a priority in shallow 1QB.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
QB,T4 Stream/Pair,24,Cam Ward,Tennessee Titans,141.1,4,3,WATCH,Rookie,Monitor news,Rookie/young QB: more matchup or 2QB value than 1QB priority.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T1 Elite RB Anchors,1,Bijan Robinson,Atlanta Falcons,1.5,2,5,MY_GUY,Anchor,OK near ADP,Anchor RB with workload/TD ceiling worth early capital.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T1 Elite RB Anchors,2,Jahmyr Gibbs,Detroit Lions,1.6,2,5,MY_GUY,Anchor,OK near ADP,Anchor RB with workload/TD ceiling worth early capital.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T2 RB1 Hammers,3,Jonathan Taylor,Indianapolis Colts,6.8,2,5,NEUTRAL,Core,,Anchor RB with workload/TD ceiling worth early capital.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T2 RB1 Hammers,4,Christian McCaffrey,San Francisco 49ers,7.2,4,5,VALUE_ONLY,Age risk,Need discount,Still elite when healthy; age/mileage pushes him below the clean young RB anchors.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T2 RB1 Hammers,5,James Cook,Buffalo Bills,11.3,2,5,NEUTRAL,Core,,Anchor RB with workload/TD ceiling worth early capital.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T2 RB1 Hammers,6,Ashton Jeanty,Las Vegas Raiders,11.6,3,5,WATCH,Rookie,Monitor news,Rookie role bet; draft only when cost matches path to touches.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T2 RB1 Hammers,7,De'Von Achane,Miami Dolphins,13.8,2,5,NEUTRAL,Core,,Anchor RB with workload/TD ceiling worth early capital.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T2 RB1 Hammers,8,Saquon Barkley,Philadelphia Eagles,14.3,3,5,MY_GUY,Target,OK near ADP,Anchor RB with workload/TD ceiling worth early capital.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T2 RB1 Hammers,9,Kenneth Walker III,Kansas City Chiefs,15.6,2,5,NEUTRAL,Core,,Anchor RB with workload/TD ceiling worth early capital.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T2 RB1 Hammers,10,Omarion Hampton,Los Angeles Chargers,16.7,3,5,WATCH,Rookie,Monitor news,Rookie role bet; draft only when cost matches path to touches.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T2 RB1 Hammers,11,Derrick Henry,Baltimore Ravens,18,4,5,VALUE_ONLY,Age risk,Need discount,"Ceiling remains massive in BAL, but age cliff risk is real.","Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T2 RB1 Hammers,12,Chase Brown,Cincinnati Bengals,20.3,2,5,NEUTRAL,Core,,Anchor RB with workload/TD ceiling worth early capital.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T3 RB2 Upside,13,Jeremiyah Love,Arizona Cardinals,23.8,3,5,VALUE_ONLY,Volatile upside,Need discount,"Elite rookie capital and upside, but Arizona role/goal-line split keeps risk elevated.","Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T3 RB2 Upside,14,Josh Jacobs,Green Bay Packers,26.9,2,4,NEUTRAL,Core,,Usable RB2/flex; monitor committee and receiving role.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T3 RB2 Upside,15,Travis Etienne Jr.,New Orleans Saints,30.8,2,4,NEUTRAL,Core,,Usable RB2/flex; monitor committee and receiving role.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T3 RB2 Upside,16,Breece Hall,New York Jets,32.6,2,4,NEUTRAL,Core,,Usable RB2/flex; monitor committee and receiving role.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T3 RB2 Upside,17,Kyren Williams,Los Angeles Rams,33.9,2,4,NEUTRAL,Core,,Usable RB2/flex; monitor committee and receiving role.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T3 RB2 Upside,18,Javonte Williams,Dallas Cowboys,37.7,2,4,NEUTRAL,Core,,Usable RB2/flex; monitor committee and receiving role.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T3 RB2 Upside,19,Bucky Irving,Tampa Bay Buccaneers,43,2,4,NEUTRAL,Core,,Usable RB2/flex; monitor committee and receiving role.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T3 RB2 Upside,20,TreVeyon Henderson,New England Patriots,47.4,3,5,WATCH,Rookie,Monitor news,Rookie role bet; draft only when cost matches path to touches.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T4 Volume/Volatile RB2,21,David Montgomery,Houston Texans,49,2,4,NEUTRAL,Core,,Usable RB2/flex; monitor committee and receiving role.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T4 Volume/Volatile RB2,22,Cam Skattebo,New York Giants,50.7,4,5,WATCH,Rookie,Monitor news,Rookie role bet; draft only when cost matches path to touches.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T4 Volume/Volatile RB2,23,Quinshon Judkins,Cleveland Browns,55,4,5,WATCH,Rookie,Monitor news,Rookie role bet; draft only when cost matches path to touches.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T4 Volume/Volatile RB2,24,D'Andre Swift,Chicago Bears,56.9,3,4,MY_GUY,Target,OK near ADP,Usable RB2/flex; monitor committee and receiving role.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T4 Volume/Volatile RB2,25,Bhayshul Tuten,Jacksonville Jaguars,57,4,5,WATCH,Rookie,Monitor news,Rookie role bet; draft only when cost matches path to touches.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T4 Volume/Volatile RB2,26,Jadarian Price,Seattle Seahawks,60.9,4,5,VALUE_ONLY,Rookie risk,Need discount,"First-round RB with fast-rising ADP; early role likely, receiving/short-yardage profile is the question.","Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T4 Volume/Volatile RB2,27,Chuba Hubbard,Carolina Panthers,69.2,3,4,MY_GUY,Target,OK near ADP,Usable RB2/flex; monitor committee and receiving role.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T4 Volume/Volatile RB2,28,Rhamondre Stevenson,New England Patriots,76.3,3,4,MY_GUY,Target,OK near ADP,Usable RB2/flex; monitor committee and receiving role.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T4 Volume/Volatile RB2,29,RJ Harvey,Denver Broncos,78.5,3,4,MY_GUY,Target,OK near ADP,Usable RB2/flex; monitor committee and receiving role.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T4 Volume/Volatile RB2,30,Jaylen Warren,Pittsburgh Steelers,81.8,3,4,MY_GUY,Target,OK near ADP,Usable RB2/flex; monitor committee and receiving role.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T4 Volume/Volatile RB2,31,Tony Pollard,Tennessee Titans,83.1,3,4,VALUE_ONLY,Value,Need discount,ADP discount versus likely usable workload; watch rookie/committee pressure.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T4 Volume/Volatile RB2,32,Kyle Monangai,Chicago Bears,87,4,5,WATCH,Rookie,Monitor news,Rookie role bet; draft only when cost matches path to touches.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T5 Flex + Contingency,33,Rico Dowdle,Pittsburgh Steelers,90.8,3,3,NEUTRAL,Fair,,Bench RB with injury-leverage or committee path.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T5 Flex + Contingency,34,Blake Corum,Los Angeles Rams,98.9,3,3,NEUTRAL,Fair,,Bench RB with injury-leverage or committee path.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T5 Flex + Contingency,35,J.K. Dobbins,Denver Broncos,99.1,4,3,VALUE_ONLY,Risk,Need discount,Bench RB with injury-leverage or committee path.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T5 Flex + Contingency,36,Jacory Croskey-Merritt,Washington Commanders,109.9,4,4,WATCH,Dart,Monitor news,Cheap backfield ambiguity bet with rising ADP.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T5 Flex + Contingency,37,Kenneth Gainwell,Tampa Bay Buccaneers,118.3,3,3,NEUTRAL,Fair,,Bench RB with injury-leverage or committee path.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T5 Flex + Contingency,38,Jordan Mason,Minnesota Vikings,119.6,3,3,NEUTRAL,Fair,,Bench RB with injury-leverage or committee path.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T5 Flex + Contingency,39,Chris Rodriguez,Jacksonville Jaguars,120.1,3,3,NEUTRAL,Fair,,Bench RB with injury-leverage or committee path.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
RB,T5 Flex + Contingency,40,Rachaad White,Washington Commanders,122.3,3,3,WATCH,Dart,Monitor news,Bench RB with injury-leverage or committee path.,"Sharp Underdog ADP; blended with FantasyPros cheat sheet structure, Fantasy Footballers tiered-cheat-sheet style, Fantasy Life rookie notes."
